      |              R        | are
+++++ |                                     | {PLOVER:SWITCH_SYSTEM:Russian Trillo}
+++++ |                       | {PLOVER:SWITCH_SYSTEM:Lapwing}
   ++ |                                     | {PLOVER:SWITCH_SYSTEM:Russian Trillo}
   ++ |                       | {PLOVER:SWITCH_SYSTEM:Lapwing}
+++++ |           EU  P       | /
  +++ |          *            | *
  +++ |           EU  P       | /
    + |          *            | *
 ++++ |          *EU          | {>}{&i}
  +++ |  T       *            | {>}{&t}
+++++ |# T P H         B      | {#Down}{^}
   ++ |# T P H         B      | {#Down}{^}
      |# T P H         B      | {#Down}{^}
  +++ |       R  *   R        | {^\n}{^}{-|}
+++++ |# T P H        P       | {#Up}{^}
      |# T P H        P       | {#Up}{^}
   ++ |# T P H        P       | {#Up}{^}
      |# T P H        P       | {#Up}{^}
      |# T P H        P       | {#Up}{^}
      |# T P H        P       | {#Up}{^}
      |# T P H        P       | {#Up}{^}
      |# T P H        P       | {#Up}{^}
  +++ |# T P H        P       | {#Up}{^}
      |# T P H        P       | {#Up}{^}
    + |# T P H        P       | {#Up}{^}
      |# T P H        P       | {#Up}{^}
+++++ |       R      R        | {^~|\n^}
+++++ |# T P H        P       | {#Up}{^}
      |# T P H        P       | {#Up}{^}
      |# T P H        P       | {#Up}{^}
      |# T P H        P       | {#Up}{^}
      |# T P H        P       | {#Up}{^}
      |# T P H        P       | {#Up}{^}
      |# T P H        P       | {#Up}{^}
      |# T P H        P       | {#Up}{^}
      |# T P H        P       | {#Up}{^}
   ++ |# T P H         B      | {#Down}{^}
      |# T P H         B      | {#Down}{^}
   ++ |# T P H        P       | {#Up}{^}
 ++++ |       R      R        | {^~|\n^}
